DATE,TWO_HOURS_INTERVAL_TWELVE_HOURS_FORMAT,INDEXED_DAY,LMS_SESSION_COUNT
2021-02-02,   12 AM,    Tue,168
2021-02-02,  02 AM,    Tue,172
2021-02-02,  04 AM,    Tue,781
2021-02-02,  06 AM,    Tue,2723
2021-02-02,  08 AM,    Tue,3087
2021-02-02,  10 AM,    Tue,3085
2021-02-02, 12 PM,    Tue,2306
2021-02-02,02 PM,    Tue,2070
2021-02-02,04 PM,    Tue,2134
2021-02-02,06 PM,    Tue,2058
2021-02-02,08 PM,    Tue,1265
2021-02-02,10 PM,    Tue,382
2021-02-03,   12 AM,   Wed,207
2021-02-03,  02 AM,   Wed,160
2021-02-03,  04 AM,   Wed,729
2021-02-03,  06 AM,   Wed,2523
2021-02-03,  08 AM,   Wed,3318
2021-02-03,  10 AM,   Wed,2973
2021-02-03, 12 PM,   Wed,2453
2021-02-03,02 PM,   Wed,1996
2021-02-03,04 PM,   Wed,2122
2021-02-03,06 PM,   Wed,2163
2021-02-03,08 PM,   Wed,1246
2021-02-03,10 PM,   Wed,399
2021-02-04,   12 AM,  Thu,171
2021-02-04,  02 AM,  Thu,179
2021-02-04,  04 AM,  Thu,925
2021-02-04,  06 AM,  Thu,2732
2021-02-04,  08 AM,  Thu,2959
2021-02-04,  10 AM,  Thu,2995
2021-02-04, 12 PM,  Thu,2397
2021-02-04,02 PM,  Thu,2103
2021-02-04,04 PM,  Thu,2092
2021-02-04,06 PM,  Thu,2107
2021-02-04,08 PM,  Thu,1286
2021-02-04,10 PM,  Thu,421
2021-02-05,   12 AM, Fri,169
2021-02-05,  02 AM, Fri,168
2021-02-05,  04 AM, Fri,565
2021-02-05,  06 AM, Fri,2161
2021-02-05,  08 AM, Fri,2722
2021-02-05,  10 AM, Fri,2550
2021-02-05, 12 PM, Fri,2070
2021-02-05,02 PM, Fri,1627
2021-02-05,04 PM, Fri,1655
2021-02-05,06 PM, Fri,1652
2021-02-05,08 PM, Fri,1263
2021-02-05,10 PM, Fri,340
2021-02-06,   12 AM,Sat,142
2021-02-06,  02 AM,Sat,103
2021-02-06,  04 AM,Sat,295
2021-02-06,  06 AM,Sat,900
2021-02-06,  08 AM,Sat,1487
2021-02-06,  10 AM,Sat,1816
2021-02-06, 12 PM,Sat,1851
2021-02-06,02 PM,Sat,1762
2021-02-06,04 PM,Sat,1640
2021-02-06,06 PM,Sat,1548
2021-02-06,08 PM,Sat,1150
2021-02-06,10 PM,Sat,473
2021-02-07,   12 AM,      Sun,179
2021-02-07,  02 AM,      Sun,153
2021-02-07,  04 AM,      Sun,327
2021-02-07,  06 AM,      Sun,999
2021-02-07,  08 AM,      Sun,1793
2021-02-07,  10 AM,      Sun,2404
2021-02-07, 12 PM,      Sun,2617
2021-02-07,02 PM,      Sun,2228
2021-02-07,04 PM,      Sun,2043
2021-02-07,06 PM,      Sun,2440
2021-02-07,08 PM,      Sun,2068
2021-02-07,10 PM,      Sun,514
2021-02-08,   12 AM,     Mon,188
2021-02-08,  02 AM,     Mon,183
2021-02-08,  04 AM,     Mon,707
2021-02-08,  06 AM,     Mon,2789
2021-02-08,  08 AM,     Mon,3443
2021-02-08,  10 AM,     Mon,3400
2021-02-08, 12 PM,     Mon,2512
2021-02-08,02 PM,     Mon,2251
2021-02-08,04 PM,     Mon,2355
2021-02-08,06 PM,     Mon,2397
2021-02-08,08 PM,     Mon,1537
2021-02-08,10 PM,     Mon,386
2021-02-09,   12 AM,    Tue,186
2021-02-09,  02 AM,    Tue,168
2021-02-09,  04 AM,    Tue,731
2021-02-09,  06 AM,    Tue,2555
2021-02-09,  08 AM,    Tue,3176
2021-02-09,  10 AM,    Tue,3204
2021-02-09, 12 PM,    Tue,2570
2021-02-09,02 PM,    Tue,2091
2021-02-09,04 PM,    Tue,2165
